year,coin,metal,weight_ozt,fineness,diameter_mm,thickness_mm,currency,denomination,variaiton
2023,eagle,gold,1,.9167,32.7,2.87,USD,50,
2023,eagle,gold,.5,.9167,27,2.24,USD,25,
2023,eagle,gold,.25,.9167,22,1.83,USD,10,
2023,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2023,eagle,silver,1,.999,40.6,2.98,USD,1,
2022,eagle,gold,1,.9167,32.7,2.87,USD,50,
2022,eagle,gold,.5,.9167,27,2.24,USD,25,
2022,eagle,gold,.25,.9167,22,1.83,USD,10,
2022,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2022,eagle,silver,1,.999,40.6,2.98,USD,1,
2021,eagle,gold,1,.9167,32.7,2.87,USD,50,
2021,eagle,gold,.5,.9167,27,2.24,USD,25,
2021,eagle,gold,.25,.9167,22,1.83,USD,10,
2021,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2021,eagle,silver,1,.999,40.6,2.98,USD,1,type-2
2021,eagle,silver,1,.999,40.6,2.98,USD,1,type-1
2020,eagle,gold,1,.9167,32.7,2.87,USD,50,
2020,eagle,gold,.5,.9167,27,2.24,USD,25,
2020,eagle,gold,.25,.9167,22,1.83,USD,10,
2020,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2020,eagle,silver,1,.999,40.6,2.98,USD,1,
2019,eagle,gold,1,.9167,32.7,2.87,USD,50,
2019,eagle,gold,.5,.9167,27,2.24,USD,25,
2019,eagle,gold,.25,.9167,22,1.83,USD,10,
2019,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2019,eagle,silver,1,.999,40.6,2.98,USD,1,
2018,eagle,gold,1,.9167,32.7,2.87,USD,50,
2018,eagle,gold,.5,.9167,27,2.24,USD,25,
2018,eagle,gold,.25,.9167,22,1.83,USD,10,
2018,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2018,eagle,silver,1,.999,40.6,2.98,USD,1,
2017,eagle,gold,1,.9167,32.7,2.87,USD,50,
2017,eagle,gold,.5,.9167,27,2.24,USD,25,
2017,eagle,gold,.25,.9167,22,1.83,USD,10,
2017,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2017,eagle,silver,1,.999,40.6,2.98,USD,1,
2016,eagle,gold,1,.9167,32.7,2.87,USD,50,
2016,eagle,gold,.5,.9167,27,2.24,USD,25,
2016,eagle,gold,.25,.9167,22,1.83,USD,10,
2016,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2016,eagle,silver,1,.999,40.6,2.98,USD,1,
